bin_id,latitude,longitude,district,waste_type,capacity_liters,previous_fill_pct,hours_since_collection,day_of_week,is_weekend,temperature,rain_flag,nearby_activity_score,historical_daily_fill_rate,target_fill_pct
TRN-0001,51.123739,71.451898,School Zone,General,120,15.08,70,6,1,23.3,1,7.81,14.49,81.8
TRN-0002,51.161529,71.479359,Market,Plastic,1100,83.2,5,0,0,20.4,0,9.38,6.31,66.58
TRN-0003,51.216061,71.524809,Industrial,Paper,120,28.97,72,3,0,18.4,0,5.19,8.04,39.24
TRN-0004,51.151513,71.446471,School Zone,Plastic,240,50.32,37,3,0,17.8,0,5.28,9.88,60.43
TRN-0005,51.173967,71.443862,Downtown,General,240,48.68,4,6,1,2.9,0,8.38,11.35,44.78
TRN-0006,51.165071,71.421341,Business Center,Plastic,120,80.95,50,0,0,30.4,0,7.74,11.02,96.63
TRN-0007,51.137494,71.423831,School Zone,Plastic,240,7.41,47,1,0,12.7,0,6.44,11.26,41.48
TRN-0008,51.150733,71.454062,School Zone,General,240,7.27,24,3,0,17.5,0,6.82,10.93,30.19
TRN-0009,51.161906,71.445149,Downtown,Organic,660,26.36,11,5,1,19.0,0,8.54,10.08,36.23
TRN-0010,51.154909,71.481399,Market,General,240,51.62,60,3,0,1.7,1,9.6,12.5,89.82
TRN-0011,51.194176,71.447353,Residential,Paper,120,31.86,44,4,0,35.0,0,5.26,7.03,37.9
TRN-0012,51.161621,71.417071,Business Center,Plastic,1100,21.78,30,1,0,13.6,0,6.55,5.39,23.2
TRN-0013,51.209989,71.477364,Park,Organic,240,77.58,54,6,1,14.4,1,3.62,8.5,66.5
TRN-0014,51.213516,71.4853,Industrial,General,240,40.81,95,5,1,8.6,0,4.73,6.22,52.8
TRN-0015,51.149676,71.451766,Market,General,120,61.41,84,0,0,28.9,1,7.39,11.73,100.0
TRN-0016,51.206878,71.4254,Residential,General,660,51.37,26,4,0,29.5,0,5.27,7.47,43.98
TRN-0017,51.148629,71.472594,Market,Plastic,660,68.13,36,0,0,16.1,0,10.0,10.08,62.92
TRN-0018,51.177015,71.432063,Downtown,General,660,31.02,78,3,0,-5.1,0,7.91,11.78,89.68
TRN-0019,51.216442,71.514593,Industrial,Organic,660,42.13,13,4,0,11.9,0,4.72,6.16,33.52
TRN-0020,51.174577,71.494374,Park,General,120,41.12,93,6,1,13.2,1,3.63,7.89,63.81
TRN-0021,51.122659,71.427336,School Zone,General,1100,66.84,40,0,0,8.1,0,5.75,6.88,56.64
TRN-0022,51.187766,71.440569,Residential,Plastic,240,12.01,48,2,0,1.2,0,6.28,9.28,32.15
TRN-0023,51.145829,71.384347,Business Center,Organic,240,14.58,94,4,0,-6.2,1,7.49,12.96,100.0
TRN-0024,51.158734,71.402894,Business Center,Organic,240,11.57,20,1,0,33.1,0,9.09,13.02,36.78
TRN-0025,51.124354,71.436987,School Zone,Paper,120,58.12,16,4,0,23.6,1,7.26,9.14,49.25
TRN-0026,51.179485,71.403556,Residential,Plastic,240,66.5,86,1,0,14.4,0,9.31,10.08,87.9
